Country ;CPI;CBI;GDP_per_capita ;GDP_per_capita_growth;Fiscal_balance ;Openness ;Real_interest_rate;Political_stability ;Export_netto
Algeria;4,37;0,61;4842,36;0,24;NA;57,56;3,59;-1,12;2,60
Angola;15,66;0,65;3333,22;-0,12;1,13;84,48;5,17;-0,41;14,59
Argentina;20,53;0,63;10827,76;0,32;-5,02;32,12;-3,55;0,01;1,68
Armenia;3,69;NA;3533,68;4,24;-2,88;72,42;12,45;-0,21;-17,99
Australia;2,27;0,42;53880,84;0,90;-1,61;42,73;3,77;0,94;-0,37
Austria;1,82;0,91;47998,65;0,42;-2,04;102,53;NA;1,13;3,44
Azerbaijan;6,85;0,74;5363,23;4,92;6,38;83,09;12,07;-0,62;20,77
Bahamas;1,87;0,61;29169,95;-1,98;-3,37;79,04;3,52;0,92;-7,28
Bahrain;1,91;0,51;23994,58;0,07;-4,20;146,31;4,47;-0,71;14,91
Bangladesh;6,98;0,54;1190,43;5,31;-1,60;38,58;3,99;-1,29;-6,20
Belgium;1,80;0,92;44995,84;0,38;-2,36;157,16;NA;0,68;0,92
Benin;1,97;0,70;1055,45;1,57;NA;53,52;3,57;0,13;-4,81
Bolivia;4,95;0,84;2543,75;2,17;6,70;70,11;5,60;-0,47;1,30
Brazil;5,32;0,27;9749,60;0,92;-5,41;25,92;31,89;-0,27;-0,29
Brunei Darussalam;0,37;0,64;35391,71;-1,40;NA;95,44;6,66;1,16;25,18
Burundi;8,25;0,76;218,57;-0,76;-3,51;35,37;6,15;-1,58;-20,51
Cambodia;4,74;0,73;1363,36;5,46;-1,27;120,99;NA;-0,16;-8,99
Cameroon;2,36;0,79;1475,47;0,85;-2,97;46,12;NA;-0,85;-2,44
Canada;1,66;0,60;46418,06;0,24;-0,43;64,15;1,73;1,08;-0,98
Chile;3,30;0,73;13217,08;1,58;-0,27;65,64;3,06;0,40;3,03
China;2,67;0,66;6573,43;7,76;NA;46,20;1,97;-0,48;3,52
Colombia;4,06;0,76;6336,26;1,94;-3,49;37,14;7,90;-1,28;-3,99
Congo, Dem. Rep.;7,99;0,80;400,17;2,25;-0,26;69,90;17,41;-2,10;-5,19
Costa Rica;4,96;0,83;9902,67;2,38;-2,51;69,72;8,24;0,59;-1,69
Croatia;1,68;0,86;14048,46;1,16;-3,46;85,60;7,27;0,63;-3,07
Cuba;4,71;0,33;6882,23;2,37;NA;34,69;NA;0,50;2,38
Cyprus;0,94;0,89;29072,26;0,45;-2,57;126,90;NA;0,53;-2,09
Czechia;2,19;0,80;20511,11;1,66;-2,00;137,81;2,87;1,00;4,99
Denmark;1,40;0,61;58857,82;0,51;0,48;102,32;NA;0,97;5,47
Dominican Republic;4,29;0,83;6231,47;3,47;-2,81;54,97;9,42;0,08;-7,25
Egypt, Arab Rep.;11,82;0,53;2602,45;2,43;-8,69;46,21;0,52;-1,16;-7,08
